,Valdocraft Net Worth,k,y,f,nike,n,i,l,c,luki,bennet,flori,niki,ELIAS
,32100,8600,97600,1070,5900,6400,6670,,,,,,
,34500,10100,101900,1080,6000,7200,6700,0,,,,,
,35000,10900,104000,1090,6050,7300,7050,10,,,,,
,36400,11200,107100,1100,6100,7360,7100,960,,,,,
,39600,11400,119500,1120,6200,7400,7140,1810,,,,,
,41200,11600,122400,1130,6250,7500,8100,3400,,,,,
,42900,11900,119000,1140,6300,8600,8150,3500,,,,,
,43500,12000,119700,1150,6350,8850,8400,3200,,,,,
,47500,12200,125000,1160,6400,9500,8500,3300,,,,,
,50800,12300,129700,1170,6450,9700,8600,3600,,,,,
,51200,12400,134500,1180,6500,9800,8670,3680,,,,,
,53400,12500,138600,1190,6600,9860,8950,3800,,,,,
,56900,12600,141500,1200,6700,9950,9000,3840,,,,,
,58300,12700,146000,1210,6740,10030,9070,3900,,,,,
,58600,12800,146800,1220,6800,10090,9090,3950,,,,,
,61900,12900,150000,1230,6850,11900,9200,4700,,,,,
,63000,13000,154000,1240,6900,13300,9400,4800,,,,,
,65000,13100,158700,1250,6950,13500,9500,4900,,,,,
,66800,13200,162400,1260,7000,14200,9600,5050,,,,,
,67800,13300,165100,1270,7070,14350,9700,5100,,,,,
,70400,13400,169800,1280,7100,14400,9750,5200,,,,,
,71000,13500,172000,1290,7150,14500,9800,5300,,,,,
,72500,13700,175400,1310,7220,15400,10200,5400,,,,,
,76800,13800,179890,1340,7250,15500,10400,5450,,,,,
,80200,13900,188200,1350,7210,15600,10500,5500,,,,,
,84100,14000,193000,1360,7250,16200,10600,5550,,,,,
,85600,14050,196300,1370,7300,17800,10640,5600,,0,,,
,88900,14070,199700,1380,7350,19900,10670,5650,,10,,,
,93400,14100,204800,1390,7600,21500,10700,5700,,1930,,,
,96500,14200,209800,1400,7750,23500,10720,5750,10,3240,,,
,100200,14300,213500,1410,7800,26200,10750,5800,710,1800,,,
,101200,14400,217000,1420,7850,27600,10800,5850,4500,1950,,,
,103000,14500,220000,1420,8500,29000,10900,5900,6900,2100,20,,
,104600,14600,242300,1430,9000,31200,11300,5950,10200,4600,800,,
,107900,14700,245700,1440,10200,31000,11500,6000,12300,4900,2100,,
,110900,14800,249000,1450,10700,32300,11600,6050,17500,5700,3000,,
,114300,14900,256000,1460,11000,32500,11700,6100,20100,7000,4800,30,
,116000,15000,262000,1470,11200,33000,11800,6150,24000,9700,7000,900,
,117900,15100,265000,1480,11500,33700,12300,6200,27900,10200,7800,2300,
,119200,15200,272400,1490,11800,34200,13500,6250,34000,10800,8300,2700,
,120500,15300,274600,1500,12300,35900,14200,6300,36500,11900,10200,3500,
,120800,15400,277400,1510,12600,36400,14350,6350,37300,12400,12400,4100,
,125480,15500,310600,1520,13000,37100,14500,6400,39400,13000,14000,4900,
,130200,15800,315000,1530,13300,37500,15000,6500,42000,13600,15500,5300,
,135700,16000,351000,1540,13400,38000,15200,6550,43500,13700,15700,5350,
,139000,16200,356800,1550,13500,38400,15300,6600,46500,13800,16000,5400,
,142000,16400,388900,1560,13700,39000,15400,6700,49000,13900,16100,5500,
,144800,16500,391200,1570,14300,40300,15700,6750,51200,14000,17000,5550,
,147600,16600,394500,1580,14500,41200,15800,6800,53000,14300,18000,5600,
,149000,16700,397000,1590,15000,41400,15900,6850,55000,14500,20100,5700,
,152900,16800,399800,1600,16100,41500,16000,6900,57000,14700,20300,5800,
,154900,16900,403000,1610,16400,41600,16100,6900,58700,15000,20400,5900,
,156300,17000,405900,1620,17000,41800,16200,6900,60000,15500,20500,6000,
,158000,17100,407000,1630,17200,42000,16300,6950,64100,15900,20600,6200,
,160600,17300,409000,1640,17400,42700,16400,7000,65000,16500,20700,6300,
,163400,17400,411500,1650,17500,43000,16500,7300,68500,17000,20800,6400,
,165000,17500,413200,1660,17800,43500,16600,7400,71000,17600,20900,6500,
,168900,17600,416900,1670,18000,44200,16700,9300,74500,18200,21200,6600,
,173000,17700,418700,1680,18100,45000,16800,10200,78700,19300,21400,6700,
,176400,17800,420100,1690,18200,45700,16900,11900,82900,20000,21700,6800,
,179000,17900,421900,1700,18300,46000,17000,13000,85000,20900,22100,6900,
,180000,18000,422200,1710,18500,41200,17100,13200,89700,21200,22200,7050,
,181000,18100,423000,1720,18600,41300,17200,13500,93000,21700,22200,7200,
,182000,18200,424000,1730,18800,41400,17300,14100,96500,22500,22300,7300,
,183000,18300,425000,1740,19000,41500,17350,14500,100000,22800,22400,7400,
,183500,18400,426000,1750,19200,41600,17400,15000,115500,23400,22500,7500,
,184000,18500,428900,1760,19600,41700,17450,16400,119700,23600,22800,7600,
,185000,18600,430000,1780,20000,41800,17500,16700,137000,23900,23000,7800,
,187500,18700,434500,1790,20200,41900,17600,17000,165000,24300,24500,7900,
,190200,19000,439500,1800,20500,41950,17700,17400,176000,27000,26000,8000,
,194000,19500,452000,1810,21300,42000,17800,18000,212000,28500,26200,8200,
,203000,20300,475000,1810,22000,42050,17900,20300,225000,29900,26500,8300,0
,205000,22000,483000,1820,22300,43250,18000,21000,233000,31000,27000,8300,1000
,223000,22100,501200,1830,23000,43400,18500,25400,236000,32500,27500,8400,2400
,231000,22300,508000,1840,23500,45100,18600,28000,250000,34000,27700,10200,7600
,235400,22400,511000,1850,23600,45500,18700,29000,252000,34200,28200,10300,7500
,239000,22500,512000,1860,23700,45600,18800,29700,254000,34400,28400,10400,7500
,246000,22600,577600,1870,23800,45700,18900,30000,255000,34600,28700,10500,7600
,257000,22700,584000,1880,24000,46000,19000,30200,256000,34900,29000,10600,7700
,261000,22750,595000,1890,24200,46200,19500,30300,256500,35100,29200,10700,7800
,265000,22800,602500,1900,24400,46400,19700,30400,257000,35200,29400,10800,7900
,269800,22850,625300,1910,24600,46600,19900,30500,258000,35400,29600,10900,8000
,273000,22900,629500,1920,24700,47000,20200,30600,258500,35600,29800,11000,8000
,276500,22950,643000,1930,24900,54400,20400,30800,259000,35800,29900,11000,8000
,281000,23000,651000,1940,25000,56000,21000,31000,260000,36000,30000,11000,8000
,290000,23100,663000,1950,25200,56700,21100,31200,262000,36100,30000,11000,8000
,295000,23200,672000,1960,25400,57500,21500,31400,264000,36200,30000,11000,8000
,301000,23300,683500,1970,25600,57900,21600,31600,266000,36300,30000,11000,8000
,304500,23400,691400,1980,25800,58800,21800,31800,268000,36400,30000,11000,8000
